[layer]
type=Tile Layer 1
data=
0,1,1,3,1,3,0,0,0,0,0,
0,1,4,1,1,1,1,3,6,1,0,
0,0,0,1,0,0,0,1,3,1,21,
1,5,6,1,1,1,1,0,5,1,1,
3,1,1,1,5,0,1,1,1,4,1,
1,4,1,5,1,1,21,1,5,1,0,
1,3,1,1,1,1,4,5,1,1,0,
1,1,0,1,0,5,0,0,21,0,0,
1,1,0,5,21,1,0,0,0,0,0,
1,1,1,5,1,0,6,3,1,1,1,
4,1,21,1,0,3,0,1,1,1,0,
5,1,21,1,0,1,0,3,1,1,1,
1,3,0,1,0,1,0,0,0,21,0,
5,1,21,1,0,1,0,0,0,0,0,
1,1,1,5,21,1,0,1,1,5,0,
0,1,1,6,21,1,1,6,1,1,0,
0,1,1,1,21,3,1,1,6,1,0,
0,1,1,1,21,1,4,3,5,1,1,
0,5,0,0,0,6,1,1,1,1,21,
1,1,0,0,21,4,6,1,1,1,0,
1,1,1,1,1,5,0,21,0,5,1,
1,0,1,1,1,3,1,1,3,6,1,
0,0,0,0,0,6,21,1,3,1,1,
6,3,3,1,21,1,0,1,1,1,1,
1,1,1,1,0,3,0,21,0,6,0,
1,4,4,1,0,1,1,1,0,1,21,
0,3,1,1,1,1,21,6,0,1,0,
0,1,1,4,21,1,0,5,0,1,0,
21,1,1,1,0,3,0,1,0,3,0,
21,6,0,0,0,1,5,1,0,1,1,
0,1,0,0,0,1,1,3,21,0,0,
1,4,0,21,0,1,1,1,5,1,1,
0,4,21,0,0,3,1,1,0,1,1,
4,1,21,0,0,1,6,1,0,1,1,
1,1,1,1,5,1,21,1,4,5,1,
1,1,0,4,1,1,0,5,21,0,0,
1,1,0,1,5,1,0,1,21,5,1,
0,0,21,6,0,0,0,1,0,1,1,
0,21,0,6,0,0,0,1,0,1,1,
0,0,0,5,21,0,0,1,0,1,1,
0,21,0,1,0,0,0,6,0,1,1,
0,21,0,1,0,0,0,6,0,1,1,
1,6,4,1,0,1,1,6,1,1,21,
1,1,21,0,0,6,1,1,1,5,0,
1,3,1,1,1,1,4,1,1,4,21,
0,0,0,0,0,1,1,6,4,1,0,
0,1,5,1,0,1,1,1,1,3,21,
0,4,3,4,21,1,1,1,1,1,1,
0,3,21,1,3,1,0,1,1,1,1,
21,1,0,0,0,0,0,5,0,1,1,
0,1,0,0,0,0,0,1,21,5,1,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
[layer]
type=Tile Layer 2
data=
0,163,163,163,163,163,0,0,0,0,0,
0,131,131,131,131,131,131,131,131,131,0,
0,0,0,150,0,0,0,150,150,150,0,
105,105,105,105,105,105,105,0,105,105,105,
105,105,105,105,105,0,105,105,105,105,105,
130,130,130,130,130,130,0,130,130,130,0,
113,113,113,113,113,113,113,113,113,113,0,
161,161,0,161,0,161,0,0,0,0,0,
147,147,0,147,0,147,0,0,0,0,0,
103,103,103,103,103,0,103,103,103,103,103,
145,145,0,145,0,145,0,145,145,145,0,
142,142,0,142,0,142,0,142,142,142,142,
156,156,0,156,0,156,0,0,0,0,0,
155,155,0,155,0,155,0,0,0,0,0,
127,127,127,127,0,127,0,127,127,127,0,
0,126,126,126,0,126,126,126,126,126,0,
0,125,125,125,0,125,125,125,125,125,0,
0,120,120,120,0,120,120,120,120,120,120,
0,149,0,0,0,149,149,149,149,149,0,
148,148,0,0,0,148,148,148,148,148,0,
121,121,121,121,121,121,0,0,0,121,121,
94,0,94,94,94,94,94,94,94,94,94,
0,0,0,0,0,133,0,133,133,133,133,
115,115,115,115,0,115,0,115,115,115,115,
143,143,143,143,0,143,0,0,0,143,0,
127,127,127,127,0,127,127,127,0,127,0,
0,129,129,129,129,129,0,129,0,129,0,
0,128,128,128,0,128,0,128,0,128,0,
0,127,127,127,0,127,0,127,0,127,0,
0,137,0,0,0,137,137,137,0,137,137,
0,136,0,0,0,136,136,136,0,0,0,
121,121,0,0,0,121,121,121,121,121,121,
0,122,0,0,0,122,122,122,0,122,122,
121,121,0,0,0,121,121,121,0,121,121,
85,85,85,85,85,85,0,85,85,85,85,
130,130,0,130,130,130,0,130,0,0,0,
115,115,0,115,115,115,0,115,0,115,115,
0,0,0,127,0,0,0,127,0,127,127,
0,0,0,116,0,0,0,116,0,116,116,
0,0,0,115,0,0,0,115,0,115,115,
0,0,0,114,0,0,0,114,0,114,114,
0,0,0,103,0,0,0,103,0,103,103,
82,82,82,82,0,82,82,82,82,82,0,
101,101,0,0,0,101,101,101,101,101,0,
64,64,64,64,64,64,64,64,64,64,0,
0,0,0,0,0,89,89,89,89,89,0,
0,80,80,80,0,80,80,80,80,80,0,
0,71,71,71,0,71,71,71,71,71,71,
0,78,0,78,78,78,0,78,78,78,78,
0,86,0,0,0,0,0,86,0,86,86,
0,85,0,0,0,0,0,85,0,85,85,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
